"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"McHugh, Collin","R","92.8",,"54.1",,,"81.5",,"53.4",
"Misiewicz, Anthony","L","92.8",,"37.9",,,"69","24.9",,
"Lively, Ben","R","92.7","92.8","75.8","96.7",,"78.9","44.7","55.3",
"Grove, Michael","R","92.7","90.4","51.8",,,"80.9","32.8",,
"Faedo, Alex","R","92.7",,,"96.6",,,"24.9",,
"Puk, A.J.","L","92.7","89.9",,,,,,"34.8",
"Phillips, Evan","R","92.6","91.6","55.6",,,,,"47",
"Soto, Gregory","L","92.6","93",,,,,"22.7",,
"Morton, Charlie","R","92.6","94.1","35.9","99.4",,"69.2",,,
"Wells, Tyler","R","92.6",,"64.5","94.3",,"75.6","36.3",,
"Severino, Luis","R","92.5","91.1","46.3","98.5",,,"60","76.9",
"Pagán, Emilio","R","92.5",,"33.7",,"95.5","59",,,
"Kimbrel, Craig","R","92.5",,,,,"65.7",,"66.9",
"Loup, Aaron","L","92.5","94.7","14.5","98.9",,"69.3",,,
"Hamilton, Ian","R","92.4","86.2",,,,,"26.2",,
"Bracho, Silvino","R","92.4",,,"52.5",,,"38.3",,
"Curtiss, John","R","92.4",,,,,,"21.6",,
"Brown, Hunter","R","92.4",,"49.5","92.7",,"77.5",,"57.9",
"Snell, Blake","L","92.4",,,"98.5",,"72.2","46",,
"Farmer, Buck","R","92.3",,,"83.2",,,"24.4",,
"Martin, Chris","R","92.3","83.7","54.6",,"77",,"29.6","52.8",
"Ruiz, José","R","92.3","91.9",,"96",,"47.4",,,
"Ortiz, Luis L.","R","92.3","87.6",,"98.4",,,"18.7",,
"Guerra, Javy","R","92.2","95.2",,,,,"35.8","45.5",
"Weaver, Luke","R","92.2","91.7","64.7","76.4",,"51.8","37.2","51.6",
"Graveman, Kendall","R","92.1","93.6",,"89.4",,"61.1","28.8",,
"Cabrera, Edward","R","92.1","87.3",,"95.7",,"64.6","25.7",,
"Winans, Allan","R","92.1","89.2",,"77.4",,,"57.6",,
"Gilbert, Tyler","L","92.1","91.8","42.4",,"97.9","66.5",,,
"Waldichuk, Ken","L","92",,,"98.5",,"83.5",,"48.1",
"Castillo, Diego","R","91.9","86.9",,"92.8",,,"19.2",,
"Thielbar, Caleb","L","91.9",,,,,"93.4","48.8","42.7",
"Brito, Jhony","R","91.8","91.1",,"98.5",,"50.4","25.8","49.8",
"Kikuchi, Yusei","L","91.8",,,"84",,"40.2","26.4",,
"Bello, Brayan","R","91.7","90.6","30.1","99.3",,,"41.4",,
"Varland, Louis","R","91.7","87.2",,"92.4",,,"37.7","44.8",
"Berríos, José","R","91.7","96.1",,"98.2",,,,,"57.9"
"Gore, MacKenzie","L","91.6",,,"93.2",,"50.2","40.2","32.8",
"Bido, Osvaldo","R","91.6","91.3","25.1","93.6",,,"35.1",,
"Sanmartin, Reiver","L","91.6","91",,"89.6",,,"30.3",,
"Murphy, Chris","L","91.6",,,"98.3",,"91.7","47","70.2",
"Crochet, Garrett","L","91.5",,,"99.2",,,,"37.3",
"Barria, Jaime","R","91.5","88.3",,"99.3",,,"35.1",,
"Long, Sam","L","91.5",,,"99.7","93.2","75.2","10.3",,
"Reyes, Gerardo","R","91.5","91.5",,,,,"41.2",,
"Dubin, Shawn","R","91.5",,"37.7","88",,"91",,"45.6",
"Suarez, José","L","91.4","89.6",,"88.9",,,"32.6","42.9",
"Brazobán, Huascar","R","91.3","86.2","20","80.9",,,,,
"De Los Santos, Enyel","R","91.3",,,"97.8",,,"20.4",,
"Smith, Drew","R","91.3",,,"99",,"75","43.6",,
"Daniel, Davis","R","91.2",,,"95.2",,"86.9","38.8",,
